num;id;box;genus;sp;ssp;sex;form
1;EL72409;B0003912;Ornithoptera;alexandrae;-;M;
2;EL72410;B0003912;Ornithoptera;alexandrae;-;M;
3;EL72411;B0003913;Ornithoptera;alexandrae;-;F;
4;EL72412;B0003913;Ornithoptera;alexandrae;-;F;
5;EL72413;B0003914;Ornithoptera;victoriae;victoriae;M;
6;EL72414;B0003914;Ornithoptera;victoriae;rubianus;M;
7;EL72415;B0003914;Ornithoptera;victoriae;victoriae;F;
8;EL72416;B0003914;Ornithoptera;victoriae;victoriae;F;
9;EL72417;B0003915;Ornithoptera;aesacus;-;M;
10;EL72418;B0003915;Ornithoptera;aesacus;-;F;
11;EL72419;B0003915;Ornithoptera;priamus;priamus;M;
12;EL72420;B0003915;Ornithoptera;priamus;priamus;M;
13;EL72421;B0003916;Ornithoptera;priamus;priamus;F;
14;EL72422;B0003916;Ornithoptera;priamus;priamus;F;
15;EL72423;B0003917;Ornithoptera;croesus;croesus;M;
16;EL72424;B0003917;Ornithoptera;croesus;croesus;M;
17;EL72425;B0003918;Ornithoptera;croesus;croesus;F;
18;EL72426;B0003918;Ornithoptera;croesus;croesus;F;
19;EL72427;B0003919;Ornithoptera;goliath;procus;M;
20;EL72428;B0003920;Ornithoptera;goliath;supremus;M;
21;EL72429;B0003919;Ornithoptera;goliath;procus;F;
22;EL72430;B0003920;Ornithoptera;goliath;supremus;F;
23;EL72431;B0003921;Ornithoptera;rothschildi;-;M;
24;EL72432;B0003921;Ornithoptera;rothschildi;-;M;
25;EL72433;B0003921;Ornithoptera;rothschildi;-;F;
26;EL72434;B0003921;Ornithoptera;rothschildi;-;F;
27;EL72435;B0003922;Ornithoptera;chimaera;chimaera;M;
28;EL72436;B0003922;Ornithoptera;chimaera;chimaera;M;
29;EL72437;B0003922;Ornithoptera;chimaera;chimaera;F;
30;EL72438;B0003922;Ornithoptera;chimaera;chimaera;F;
31;EL72439;B0003923;Ornithoptera;richmondia;-;M;
32;EL72440;B0003923;Ornithoptera;richmondia;-;M;
33;EL72441;B0003923;Ornithoptera;richmondia;-;F;
34;EL72442;B0003923;Ornithoptera;richmondia;-;F;
35;EL72443;B0003924;Ornithoptera;euphorion;-;M;
36;EL72444;B0003924;Ornithoptera;euphorion;-;M;
37;EL72445;B0003925;Ornithoptera;euphorion;-;F;
38;EL72446;B0003925;Ornithoptera;euphorion;-;F;
39;EL72447;B0003926;Ornithoptera;goliath;samson;M;
40;EL72448;B0003926;Ornithoptera;goliath;samson;M;
41;EL72449;B0003926;Ornithoptera;goliath;-;F;
42;EL72450;B0003926;Ornithoptera;goliath;-;F;
43;EL72451;B0003927;Ornithoptera;tithonus;tithonus;M;
44;EL72452;B0003927;Ornithoptera;tithonus;misreniana;M;
45;EL72453;B0003927;Ornithoptera;tithonus;misreniana;F;
46;EL72454;B0003927;Ornithoptera;tithonus;misreniana;F;
47;EL72455;B0003928;Ornithoptera;paradisea;paradisea;M;
48;EL72456;B0003928;Ornithoptera;paradisea;paradisea;M;
49;EL72457;B0003928;Ornithoptera;paradisea;paradisea;F;
50;EL72458;B0003928;Ornithoptera;paradisea;paradisea;F;
51;EL72459;B0003929;Ornithoptera;meridionalis;-;F;
52;EL72460;B0003929;Ornithoptera;meridionalis;tarunggarensis;M;
53;EL72461;B0003930;Baronia;brevicornis;-;M;
54;EL72462;B0003930;Baronia;brevicornis;-;M;
55;EL72463;B0003930;Baronia;brevicornis;-;F;
56;EL72464;B0003931;Papilio;rex;abyssinicana;M;
57;EL72465;B0003931;Papilio;rex;abyssinicana;M;
58;EL72466;B0003931;Papilio;rex;abyssinicana;F;
59;EL72467;B0003931;Papilio;rex;abyssinicana;F;
60;EL72468;B0003932;Papilio;phorcas;phorcas;M;
61;EL72469;B0003932;Papilio;phorcas;phorcas;M;
62;EL72470;B0003933;Papilio;phorcas;phorcas;F;
63;EL72471;B0003933;Papilio;phorcas;phorcas;F;
64;EL72472;B0003934;Papilio;constantinus;-;Ind;
65;EL72473;B0003934;Papilio;constantinus;-;Ind;
66;EL72474;B0003934;Papilio;constantinus;-;Ind;
67;EL72475;B0003934;Papilio;constantinus;-;Ind;
68;EL72476;B0003935;Papilio;meriones;-;M;
69;EL72477;B0003935;Papilio;meriones;-;M;
70;EL72478;B0003936;Papilio;meriones;-;F;
71;EL72479;B0003936;Papilio;meriones;-;F;
72;EL72480;B0003937;Papilio;dardanus;dardanus;M;
73;EL72481;B0003937;Papilio;dardanus;dardanus;M;
74;EL72482;B0003938;Papilio;dardanus;dardanus;F;
75;EL72483;B0003938;Papilio;dardanus;dardanus;F;
76;EL72484;B0003939;Papilio;lormieri;lormieri;M;
77;EL72485;B0003939;Papilio;lormieri;lormieri;M;
78;EL72486;B0003940;Papilio;lormieri;lormieri;F;
79;EL72487;B0003940;Papilio;lormieri;lormieri;F;
80;EL72488;B0003941;Papilio;demodocus;demodocus;M;
81;EL72489;B0003941;Papilio;demodocus;demodocus;M;
82;EL72490;B0003942;Papilio;demodocus;demodocus;M;
83;EL72491;B0003945;Papilio;demodocus;demodocus;M;
84;EL72492;B0003945;Papilio;demodocus;demodocus;M;
85;EL72493;B0003943;Papilio;demodocus;demodocus;F;
86;EL72494;B0003943;Papilio;demodocus;demodocus;F;
87;EL72495;B0003943;Papilio;demodocus;demodocus;F;
88;EL72496;B0003944;Papilio;demodocus;demodocus;F;
89;EL72497;B0003944;Papilio;demodocus;demodocus;F;
90;EL72358;B0003903;Iphiclides;feisthamelii;lotteri;M;
91;EL72359;B0003903;Iphiclides;feisthamelii;lotteri;F;
92;EL72360;B0003903;Iphiclides;feisthamelii;lotteri;F;
93;EL72361;B0003904;Iphiclides;feisthamelii;lotteri;F;
94;EL72362;B0003904;Iphiclides;feisthamelii;lotteri;F;
95;EL72363;B0003905;Iphiclides;feisthamelii;feisthamelii;F;
96;EL72364;B0003906;Iphiclides;feisthamelii;feisthamelii;M;
97;EL72365;B0003906;Iphiclides;feisthamelii;feisthamelii;M;
98;EL72366;B0003907;Iphiclides;feisthamelii;feisthamelii;M;
99;EL72367;B0003907;Iphiclides;feisthamelii;feisthamelii;M;
100;EL72368;B0003240;Iphiclides;podalirius;pseudopersica;M;
101;EL72369;B0003240;Iphiclides;podalirius;pseudopersica;M;
102;EL72370;B0003240;Iphiclides;podalirius;pseudopersica;M;
103;EL72371;B0003240;Iphiclides;podalirius;pseudopersica;M;
104;EL72372;B0003242;Iphiclides;podalirius;pseudopersica;M;
105;EL72373;B0003908;Iphiclides;podalirius;intermedia;M;
106;EL72374;B0003908;Iphiclides;podalirius;intermedia;M;
107;EL72375;B0003908;Iphiclides;podalirius;intermedia;M;
108;EL72376;B0003908;Iphiclides;podalirius;intermedia;M;
109;EL72377;B0003908;Iphiclides;podalirius;intermedia;F;
110;EL72378;B0003908;Iphiclides;podalirius;zanclaeus;F;
111;EL72379;B0003908;Iphiclides;podalirius;zanclaeus;M;
112;EL72380;B0003908;Iphiclides;podalirius;zanclaeus;M;
113;EL72381;B0003908;Iphiclides;podalirius;zanclaeus;M;
114;EL72382;B0003910;Iphiclides;podalirius;zanclaeus;M;
115;EL72383;B0003908;Iphiclides;podalirius;creta;M;
116;EL72384;B0003908;Iphiclides;podalirius;creta;M;
117;EL72385;B0003908;Iphiclides;podalirius;creta;F;
118;EL72386;B0003908;Iphiclides;podalirius;creta;M;
119;EL72387;B0003908;Iphiclides;podalirius;creta;F;
120;EL72388;B0003909;Iphiclides;podalirius;vadesiaca;M;
121;EL72389;B0003909;Iphiclides;podalirius;vadesiaca;M;
122;EL72390;B0003909;Iphiclides;podalirius;vadesiaca;F;
123;EL72391;B0003909;Iphiclides;podalirius;vadesiaca;F;
124;EL72392;B0003909;Iphiclides;podalirius;vadesiaca;F;
125;EL72393;B0003910;Iphiclides;podalirius;elongata;M;
126;EL72394;B0003910;Iphiclides;podalirius;elongata;F;
127;EL72395;B0003910;Iphiclides;podalirius;elongata;F;
128;EL72396;B0003911;Iphiclides;podalirius;centralasiae;F;
129;EL72397;B0003911;Iphiclides;podalirius;centralasiae;M;
130;EL72398;B0003911;Iphiclides;podalirius;centralasiae;F;
131;EL72399;B0003911;Iphiclides;podalirius;centralasiae;M;
132;EL72400;B0003911;Iphiclides;podalirius;centralasiae;F;
133;EL72401;B0003911;Iphiclides;podalirius;flaccidus;M;
134;EL72402;B0003911;Iphiclides;podalirius;juldusa;F;
135;EL72403;B0003911;Iphiclides;podalirius;juldusa;F;
136;EL72404;B0003241;Iphiclides;podalirius;flammaeus;M;
137;EL72405;B0003238;Iphiclides;podalirius;flammaeus;F;
