"";"Var1";"Var2";"value"
"1";"Baronia_brevicornis";"Baronia_brevicornis";1
"2";"Archon_apollinaris";"Baronia_brevicornis";0
"3";"Graphium_agetes";"Baronia_brevicornis";0
"4";"Graphium_macleayanus";"Baronia_brevicornis";NA
"5";"Graphium_meyeri";"Baronia_brevicornis";0
"6";"Luehdorfia_chinensis";"Baronia_brevicornis";0
"7";"Bhutanitis_thaidina";"Baronia_brevicornis";0
"8";"Allancastria_deyrollei";"Baronia_brevicornis";0
"9";"Allancastria_cretica";"Baronia_brevicornis";NA
"10";"Allancastria_cerisyi";"Baronia_brevicornis";0
"11";"Parnassius_apollonius";"Baronia_brevicornis";0
"12";"Luehdorfia_japonica";"Baronia_brevicornis";0
"13";"Parnassius_tianschanicus";"Baronia_brevicornis";0
"14";"Luehdorfia_puziloi";"Baronia_brevicornis";0
"15";"Mimoides_lysithous";"Baronia_brevicornis";0
"16";"Parnassius_actius";"Baronia_brevicornis";0
"17";"Parnassius_epaphus";"Baronia_brevicornis";0
"18";"Parnassius_autocrator";"Baronia_brevicornis";0
"19";"Parnassius_sacerdos";"Baronia_brevicornis";0
"20";"Parnassius_bremeri";"Baronia_brevicornis";0
"21";"Parnassius_charltonius";"Baronia_brevicornis";0
"22";"Parnassius_simo";"Baronia_brevicornis";NA
"23";"Parnassius_simonius";"Baronia_brevicornis";0
"24";"Parnassius_orleans";"Baronia_brevicornis";NA
"25";"Parnassius_clodius";"Baronia_brevicornis";0
"26";"Parnassius_delphius";"Baronia_brevicornis";0
"27";"Parnassius_eversmanni";"Baronia_brevicornis";NA
"28";"Parnassius_glacialis";"Baronia_brevicornis";0
"29";"Parnassius_honrathi";"Baronia_brevicornis";NA
"30";"Parnassius_ariadne";"Baronia_brevicornis";NA
"31";"Parnassius_hardwickii";"Baronia_brevicornis";0
"32";"Parnassius_acco";"Baronia_brevicornis";NA
"33";"Parnassius_szechenyii";"Baronia_brevicornis";NA
"34";"Parnassius_jacquemontii";"Baronia_brevicornis";0
