id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19
ACC0001;D;0.209926637;-0.091900819;-0.019368149;0.419186934;0.045485603;0.328809235;-0.191908309;0.0641413;-0.01509834;0.04135833;0.034555575;-0.027869188;-0.066893133;0.074547167;-0.026335818;0.035831257;-0.021192511;-0.012325505;0.052245564;-0.060705763
ACC0001;V;0.04785934;-0.02714316;-0.200597348;0.327549369;0.044696149;0.282428215;-0.083244532;0.037745073;-0.071348864;-0.038744518;-0.02964865;0.104920633;-0.167435323;0.156179352;-0.034490852;0.011955405;0.114689678;-0.074052067;0.096022332;-0.06011167
ACC0002;D;0.236160253;-0.092849563;-0.063313791;0.363314791;0.030371614;0.328609984;-0.174395286;0.032798514;-0.024045123;0.063679782;-0.008455094;-0.012024054;-0.083573477;0.108377498;-0.050888891;0.019999785;-0.080298082;0.024942901;0.030581439;-0.046794842
ACC0002;V;0.119987491;-0.094316786;-0.222103997;0.263408026;0.029863286;0.315093993;-0.109570602;0.038380978;-0.092294918;-0.054665521;-0.057736687;0.087035159;-0.171778505;0.175892579;-0.01910572;-0.007791104;0.039825567;-0.028712791;0.09580848;-0.043184297
ACC0003;D;0.193911944;-0.001001601;-0.011535501;0.452090901;0.009339909;0.311925525;-0.213439134;0.027938477;-0.012398483;0.050290478;0.007841679;-0.011092783;-0.068034782;0.040391893;-0.072259896;0.053848191;-0.027900311;-0.023906829;0.035353228;-0.040585216
ACC0003;V;0.066091385;-0.028001622;-0.17574456;0.338648297;0.002626521;0.296780219;-0.127511225;0.044476963;-0.06456245;-0.092121694;-0.044661596;0.086628593;-0.160286476;0.12823309;-0.023131378;0.005987635;0.098793292;-0.070905887;0.096840513;-0.051310437
ACC0004;D;0.36597356;-0.352998803;-0.001925288;0.06761826;0.044659001;0.249111752;-0.074750823;0.15313647;0.021645538;0.038398592;-0.067749864;-0.029137517;-0.05308363;0.164640869;0.064165294;-0.007937268;-0.110654108;0.114123057;-0.121209508;0.029705052
ACC0004;V;0.261809153;-0.318624192;-0.083705945;0.23345205;0.008270433;0.31554435;-0.081171721;0.114867779;-0.078367398;-0.002988714;0.00175898;0.015003885;-0.000857256;0.198239889;0.123230004;-0.046377308;-0.07693072;0.038311944;-0.029456413;0.065455973
ACC0005;D;0.37324419;-0.25635786;0.006146762;0.186009883;-0.005028556;0.285158755;-0.099776411;0.15175378;-0.028010609;-0.003174708;-0.065975433;-0.046709776;-0.045720077;0.142750121;0.011937826;0.017807936;-0.154197576;0.096948995;-0.102079789;0.003255645
ACC0005;V;0.223990342;-0.163289718;-0.091671775;0.329950769;-0.065428502;0.354453406;-0.103166544;0.153729192;-0.123927626;-0.052491943;-0.024246495;0.027959177;-0.014942313;0.15305306;0.041466728;-0.012121603;-0.070543165;-0.009041831;-0.038376172;0.0172001
